Gender,Age,Salary,Purchased
Male,32,117000,YES
Male,33,43000,NO
Female,33,60000,NO
Female,31,66000,NO
Female,20,82000,NO
Female,33,41000,NO
Female,35,72000,NO
Male,28,,NO
Male,24,84000,NO
Male,19,26000,NO
Female,29,43000,NO
Female,19,70000,NO
Male,,89000,NO
Male,34,43000,NO
Male,30,79000,NO
Male,20,36000,NO
Female,26,80000,NO
Female,35,22000,NO
Female,35,39000,NO
Female,49,74000,NO
Female,39,134000,YES
Male,41,71000,NO
Male,58,101000,YES
Female,47,47000,NO
Female,55,130000,YES
Male,52,114000,NO
Female,40,142000,YES
Female,46,22000,NO
Female,48,96000,YES
Male,52,150000,YES
Male,59,42000,NO
Male,35,58000,NO
Female,47,43000,NO
Male,60,108000,YES
Female,49,65000,NO
Female,40,78000,NO
Female,46,96000,NO
Male,59,143000,YES
Male,41,80000,NO
Male,35,91000,YES
Male,37,144000,YES
Male,60,102000,YES
Female,35,60000,NO
Male,37,53000,NO
Male,36,126000,YES
Female,56,133000,YES
Female,40,72000,NO
Male,42,80000,YES
Female,35,147000,YES
Female,,42000,NO
Male,40,107000,YES
Male,49,86000,YES
Female,38,112000,NO
Female,46,79000,YES
Female,40,57000,NO
Male,37,80000,NO
Female,46,82000,NO
Male,53,143000,YES
Male,42,149000,YES
Female,38,59000,NO
Female,50,88000,YES
Male,56,104000,YES
Female,41,72000,NO
Female,51,146000,YES
Female,35,50000,NO
Male,57,122000,YES
Female,41,52000,NO
Male,35,97000,YES
Female,44,39000,NO
Female,37,52000,NO
Male,48,134000,YES
Female,37,146000,YES
Male,50,44000,NO
Female,52,90000,YES
Female,41,72000,NO
Female,40,57000,NO
Female,58,95000,YES
Female,45,131000,YES
Female,35,77000,NO
Male,36,144000,YES
Female,55,125000,YES
Male,35,72000,NO
Female,48,90000,YES
Male,42,108000,YES
Female,40,75000,NO
Female,37,74000,NO
Female,47,144000,YES
Female,40,61000,NO
Female,43,133000,NO
Male,59,76000,YES
Male,60,42000,YES
Female,39,106000,YES
Female,57,26000,YES
Male,57,74000,YES
Male,,71000,NO
Male,49,88000,YES
Female,52,38000,YES
Female,50,36000,YES
Female,59,88000,YES
Female,35,61000,NO
Male,37,70000,YES
Female,52,21000,YES
Male,48,141000,NO
Female,37,93000,YES
Female,37,62000,NO
Female,48,138000,YES
Male,41,79000,NO
Female,37,78000,YES
Female,39,134000,YES
Female,49,89000,YES
Female,55,39000,YES
Female,37,77000,NO
Female,35,57000,NO
Female,36,63000,NO
Female,42,73000,YES
Female,43,112000,YES
Female,45,79000,NO
Female,46,117000,YES
Female,58,38000,YES
Female,,74000,YES
Female,37,137000,YES
Female,37,79000,YES
Female,40,60000,NO
Female,42,54000,NO
Female,51,134000,NO
Female,47,113000,YES
Female,36,125000,YES
Female,38,,NO
Male,42,70000,NO
Female,39,96000,YES
Female,38,50000,NO
Female,49,141000,YES
Male,39,79000,NO
Male,39,75000,YES
Male,54,104000,YES
Female,35,55000,NO
Female,45,32000,YES
Male,36,60000,NO
Female,52,138000,YES
Female,53,82000,YES
Female,41,52000,NO
Female,48,30000,YES
Male,48,131000,YES
Male,41,60000,NO
Male,41,72000,NO
Male,42,,NO
Male,36,118000,YES
Female,47,107000,YES
Female,38,51000,NO
Male,48,119000,YES
Female,42,65000,NO
Female,40,65000,NO
Female,,60000,YES
Female,36,54000,NO
Female,58,144000,YES
Female,35,79000,NO
Female,38,55000,NO
Male,39,122000,YES
Female,53,104000,YES
Female,35,75000,NO
Male,38,65000,NO
Male,47,51000,YES
Female,47,105000,YES
Male,41,63000,NO
Male,53,72000,YES
Female,54,108000,YES
Female,39,77000,NO
Male,38,61000,NO
Male,38,113000,YES
Female,37,75000,NO
Female,42,90000,YES
Female,37,57000,NO
Male,36,99000,YES
Male,60,34000,YES
Female,54,70000,YES
Male,41,72000,NO
Male,40,71000,YES
Female,42,54000,NO
Male,43,129000,YES
Female,53,34000,YES
Male,47,50000,YES
Female,42,79000,NO
Female,42,104000,YES
Female,59,29000,YES
Female,58,47000,YES
Female,,88000,YES
Female,38,71000,NO
Female,54,26000,YES
Female,60,46000,YES
Female,60,83000,YES
Male,39,73000,NO
Female,59,130000,YES
Female,37,80000,NO
Female,46,32000,YES
Female,46,74000,NO
Male,42,53000,NO
Female,41,87000,YES
Male,58,23000,YES
Female,42,64000,NO
Male,48,,YES
Male,44,139000,YES
Female,49,28000,YES
Male,57,33000,YES
Female,56,60000,YES
Male,49,39000,YES
Female,39,71000,NO
Female,47,34000,YES
Female,48,35000,YES
Female,48,33000,YES
Female,47,23000,YES
Female,45,45000,YES
Female,,42000,YES
Female,39,59000,NO
Male,46,41000,YES
Female,51,23000,YES
Female,50,20000,YES
Male,36,,NO
Female,49,36000,YES
